CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Class,Churn_Status,Lifecycle_Segment
12346,325,1,77183.6,1,1,5,115,Churned,Hibernating / Lost
12347,1,7,4310.0,5,5,5,555,Active,VIP / Core Loyalist
12348,74,4,1797.24,2,4,4,244,Active,At Risk / High-Value Lapsing
12349,18,1,1757.55,4,1,4,414,Active,New / Recent Trialist
12350,309,1,334.4,1,1,2,112,Churned,Hibernating / Lost
12352,35,8,2506.04,3,5,5,355,Active,Average Mid-Tier Core
12353,203,1,89.0,1,1,1,111,Churned,Hibernating / Lost
12354,231,1,1079.4,1,1,4,114,Churned,Hibernating / Lost
12355,213,1,459.4,1,1,2,112,Churned,Hibernating / Lost
12356,22,3,2811.43,4,3,5,435,Active,Average Mid-Tier Core
12357,32,1,6207.67,4,1,5,415,Active,New / Recent Trialist
12358,1,2,1168.06,5,2,4,524,Active,Average Mid-Tier Core
12359,57,4,6372.58,3,4,5,345,Active,Average Mid-Tier Core
12360,51,3,2662.06,3,3,5,335,Active,Average Mid-Tier Core
12361,286,1,189.9,1,1,1,111,Churned,Hibernating / Lost
12362,2,10,5226.23,5,5,5,555,Active,VIP / Core Loyalist
12363,109,2,552.0,2,2,3,223,Churned,Hibernating / Lost
12364,7,4,1313.1,5,4,4,544,Active,VIP / Core Loyalist
12365,290,2,641.38,1,2,3,123,Churned,Hibernating / Lost
12367,3,1,168.9,5,1,1,511,Active,New / Recent Trialist
12370,50,4,3545.69,3,4,5,345,Active,Average Mid-Tier Core
12371,44,2,1887.96,3,2,4,324,Active,Average Mid-Tier Core
12372,71,3,1298.04,3,3,4,334,Active,Average Mid-Tier Core
12373,310,1,364.6,1,1,2,112,Churned,Hibernating / Lost
12374,24,1,742.9300000000001,4,1,3,413,Active,New / Recent Trialist
12375,10,2,457.5,5,2,2,522,Active,Average Mid-Tier Core
12377,314,2,1628.12,1,2,4,124,Churned,Hibernating / Lost
12378,129,1,4008.62,2,1,5,215,Churned,Hibernating / Lost
12379,81,2,852.24,2,2,3,223,Active,Hibernating / Lost
12380,21,4,2724.81,4,4,5,445,Active,VIP / Core Loyalist
12381,4,5,1845.31,5,4,4,544,Active,VIP / Core Loyalist
12383,184,5,1850.56,1,4,4,144,Churned,At Risk / High-Value Lapsing
12384,28,2,585.27,4,2,3,423,Active,Average Mid-Tier Core
12386,337,2,401.9,1,2,2,122,Churned,Hibernating / Lost
12388,15,6,2780.66,4,4,5,445,Active,VIP / Core Loyalist
12390,79,1,549.84,2,1,3,213,Active,Hibernating / Lost
12391,21,1,460.89,4,1,2,412,Active,New / Recent Trialist
12393,71,4,1582.6000000000001,3,4,4,344,Active,Average Mid-Tier Core
12394,63,2,1272.48,3,2,4,324,Active,Average Mid-Tier Core
12395,18,12,3018.63,4,5,5,455,Active,VIP / Core Loyalist
12397,35,2,2409.9,3,2,5,325,Active,Average Mid-Tier Core
12398,45,1,1635.6599999999999,3,1,4,314,Active,New / Recent Trialist
12399,118,4,1108.65,2,4,4,244,Churned,At Risk / High-Value Lapsing
12401,302,1,84.3,1,1,1,111,Churned,Hibernating / Lost
12402,322,1,225.6,1,1,1,111,Churned,Hibernating / Lost
12403,49,1,427.7,3,1,2,312,Active,New / Recent Trialist
12405,148,1,1710.39,2,1,4,214,Churned,Hibernating / Lost
12406,21,2,3415.3,4,2,5,425,Active,Average Mid-Tier Core
12407,49,5,1708.1200000000001,3,4,4,344,Active,Average Mid-Tier Core
12408,32,5,2888.55,4,4,5,445,Active,VIP / Core Loyalist
12409,78,3,11072.67,2,3,5,235,Active,At Risk / High-Value Lapsing
12410,308,2,693.3299999999999,1,2,3,123,Churned,Hibernating / Lost
12412,74,3,1226.88,2,3,4,234,Active,At Risk / High-Value Lapsing
12413,66,3,758.1,3,3,3,333,Active,Average Mid-Tier Core
12414,216,3,562.41,1,3,3,133,Churned,At Risk / High-Value Lapsing
12415,23,21,124914.53,4,5,5,455,Active,VIP / Core Loyalist
12417,2,9,3649.1,5,5,5,555,Active,VIP / Core Loyalist
12418,112,1,668.58,2,1,3,213,Churned,Hibernating / Lost
12420,63,1,600.39,3,1,3,313,Active,New / Recent Trialist
12421,15,4,807.04,4,4,3,443,Active,Average Mid-Tier Core
12422,95,3,803.5600000000001,2,3,3,233,Churned,At Risk / High-Value Lapsing
12423,0,8,1859.31,5,5,4,554,Active,VIP / Core Loyalist
12424,162,2,1760.96,2,2,4,224,Churned,Hibernating / Lost
12425,77,1,777.2,2,1,3,213,Active,Hibernating / Lost
12426,194,1,582.73,1,1,3,113,Churned,Hibernating / Lost
12427,21,3,825.8,4,3,3,433,Active,Average Mid-Tier Core
12428,25,9,7956.46,4,5,5,455,Active,VIP / Core Loyalist
12429,8,4,3750.4,5,4,5,545,Active,VIP / Core Loyalist
12430,42,1,256.4,3,1,2,312,Active,New / Recent Trialist
12431,35,15,6487.45,3,5,5,355,Active,Average Mid-Tier Core
12432,42,5,5059.32,3,4,5,345,Active,Average Mid-Tier Core
12433,0,7,13375.87,5,5,5,555,Active,VIP / Core Loyalist
12434,84,2,806.14,2,2,3,223,Active,Hibernating / Lost
12435,79,2,7829.89,2,2,5,225,Active,Hibernating / Lost
12436,99,1,509.01,2,1,3,213,Churned,Hibernating / Lost
12437,1,18,4951.41,5,5,5,555,Active,VIP / Core Loyalist
12438,13,2,2906.85,4,2,5,425,Active,Average Mid-Tier Core
12441,366,1,173.55,1,1,1,111,Churned,Hibernating / Lost
12442,2,1,172.06,5,1,1,511,Active,New / Recent Trialist
12444,20,5,5005.46,4,4,5,445,Active,VIP / Core Loyalist
12445,21,1,133.4,4,1,1,411,Active,New / Recent Trialist
12446,57,1,1002.3100000000001,3,1,4,314,Active,New / Recent Trialist
12447,242,1,476.49,1,1,2,112,Churned,Hibernating / Lost
12448,43,1,449.45,3,1,2,312,Active,New / Recent Trialist
12449,21,4,4067.29,4,4,5,445,Active,VIP / Core Loyalist
12450,155,2,197.88,2,2,1,221,Churned,Hibernating / Lost
12451,10,5,9035.52,5,4,5,545,Active,VIP / Core Loyalist
12452,16,2,430.57,4,2,2,422,Active,Average Mid-Tier Core
12453,133,1,707.09,2,1,3,213,Churned,Hibernating / Lost
12454,55,1,3528.34,3,1,5,315,Active,New / Recent Trialist
12455,72,6,2466.86,2,4,5,245,Active,At Risk / High-Value Lapsing
12456,43,3,3181.04,3,3,5,335,Active,Average Mid-Tier Core
12457,65,7,2363.23,3,5,5,355,Active,Average Mid-Tier Core
12458,70,2,947.4,3,2,4,324,Active,Average Mid-Tier Core
12461,93,2,826.88,2,2,3,223,Churned,Hibernating / Lost
12462,18,2,1189.59,4,2,4,424,Active,Average Mid-Tier Core
